西藏,3,2,66.67
湖北,75,41,54.67
新疆维吾尔,58,27,46.55
安徽,609,151,24.79
福建,489,118,24.13
宁夏回族,42,10,23.81
海南,178,42,23.6
黑龙江,379,87,22.96
吉林,401,88,21.95
重庆,1036,221,21.33
河北,1083,229,21.14
山东,1804,380,21.06
江西,411,86,20.92
河南,966,201,20.81
浙江,2061,428,20.77
云南,778,158,20.31
四川,2019,408,20.21
江苏,2126,426,20.04
广东,2463,482,19.57
内蒙古,215,42,19.53
上海,3353,647,19.3
北京,2054,396,19.28
辽宁,1187,225,18.96
湖南,1099,207,18.84
天津,1153,209,18.13
广西,436,78,17.89
贵州,345,61,17.68
山西,465,81,17.42
陕西,536,87,16.23
青海,19,3,15.79
甘肃,167,25,14.97
